Rok,idTerytWojewodztwo,Wojewodztwo,idTypPodmiotu,TypPodmiotu,idKategoriaUczniow,KategoriaUczniów,idPublicznosc,Publiczność,idSpecyfikaSzkoly,SpecyfikaSzkoły,idTypDanaDziedzinowa,TypDanejDziedzinowej,idKlasa,Klasa,LiczbaUczniów
2019,2,DOLNOŚLĄSKIE,1,Przedszkole,1,Dzieci lub młodzież,1,publiczna,100,brak specyfiki,46,spełnianie obowiązku rocznego przygotowania przedszkolnego poza placówką wych. przedszkolnego - nauczanie domowe,2,0,6
2019,2,DOLNOŚLĄSKIE,1,Przedszkole,1,Dzieci lub młodzież,4,niepubliczna,100,brak specyfiki,46,spełnianie obowiązku rocznego przygotowania przedszkolnego poza placówką wych. przedszkolnego - nauczanie domowe,2,0,1
2019,2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,1,Dzieci lub młodzież,1,publiczna,100,brak specyfiki,49,spełnianie obowiązku rocznego przygotowania przedszkolnego poza szkołą - nauczanie domowe,2,0,3
2019,2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,1,Dzieci lub młodzież,1,publiczna,100,brak specyfiki,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,4,1,7
2019,2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,1,Dzieci lub młodzież,1,publiczna,100,brak specyfiki,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,5,2,34
2019,2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,1,Dzieci lub młodzież,1,publiczna,100,brak specyfiki,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,6,3,17
2019,2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,1,Dzieci lub młodzież,1,publiczna,100,brak specyfiki,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,7,4,10
2019,2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,1,Dzieci lub młodzież,1,publiczna,100,brak specyfiki,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,8,5,11
2019,2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,1,Dzieci lub młodzież,1,publiczna,100,brak specyfiki,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,9,6,6
2019,2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,1,Dzieci lub młodzież,1,publiczna,100,brak specyfiki,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,10,7,31
2019,2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,1,Dzieci lub młodzież,1,publiczna,100,brak specyfiki,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,11,8,5
2019,2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,1,Dzieci lub młodzież,4,niepubliczna,1,specjalna,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,6,3,1
2019,2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,1,Dzieci lub młodzież,4,niepubliczna,100,brak specyfiki,49,spełnianie obowiązku rocznego przygotowania przedszkolnego poza szkołą - nauczanie domowe,2,0,17
2019,2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,1,Dzieci lub młodzież,4,niepubliczna,100,brak specyfiki,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,4,1,41
2019,2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,1,Dzieci lub młodzież,4,niepubliczna,100,brak specyfiki,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,5,2,46
2019,2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,1,Dzieci lub młodzież,4,niepubliczna,100,brak specyfiki,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,6,3,165
2019,2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,1,Dzieci lub młodzież,4,niepubliczna,100,brak specyfiki,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,7,4,136
2019,2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,1,Dzieci lub młodzież,4,niepubliczna,100,brak specyfiki,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,8,5,137
2019,2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,1,Dzieci lub młodzież,4,niepubliczna,100,brak specyfiki,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,9,6,96
2019,2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,1,Dzieci lub młodzież,4,niepubliczna,100,brak specyfiki,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,10,7,54
2019,2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,1,Dzieci lub młodzież,4,niepubliczna,100,brak specyfiki,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,11,8,43
2019,2,DOLNOŚLĄSKIE,14,Liceum ogólnokształcące,1,Dzieci lub młodzież,1,publiczna,100,brak specyfiki,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,4,1,2
2019,2,DOLNOŚLĄSKIE,14,Liceum ogólnokształcące,1,Dzieci lub młodzież,1,publiczna,100,brak specyfiki,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,6,3,2
2019,2,DOLNOŚLĄSKIE,14,Liceum ogólnokształcące,1,Dzieci lub młodzież,4,niepubliczna,100,brak specyfiki,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,4,1,45
2019,2,DOLNOŚLĄSKIE,14,Liceum ogólnokształcące,1,Dzieci lub młodzież,4,niepubliczna,100,brak specyfiki,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,5,2,22
2019,2,DOLNOŚLĄSKIE,14,Liceum ogólnokształcące,1,Dzieci lub młodzież,4,niepubliczna,100,brak specyfiki,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,6,3,3
2019,2,DOLNOŚLĄSKIE,93,Branżowa szkoła I stopnia,1,Dzieci lub młodzież,1,publiczna,1,specjalna,50,spełnianie obowiązku szkolnego lub obowiązku nauki poza szkołą - nauczanie domowe,4,1,2
2019,4,KUJAWSKO-POMORSKIE,1,Przedszkole,1,Dzieci lub młodzież,1,publiczna,100,brak specyfiki,46,spełnianie obowiązku rocznego przygotowania przedszkolnego poza placówką wych. przedszkolnego - nauczanie domowe,2,0,3
